timestamp,cpu_usage,ram_usage,disk_usage,disk_read,disk_write,battery_percent,process_count,heavy_process_count
2026-01-17 20:56:10,12.8,65.3,9.8,0,2826240,50,244,2
2026-01-17 20:56:43,11.1,64.9,9.8,197120,4739584,50,240,4
2026-01-17 20:57:14,6.4,64.9,9.8,131072,2281472,50,240,3
2026-01-17 20:57:46,6.1,64.3,9.8,65536,3059712,50,242,3
2026-01-17 20:58:18,2.3,63.7,9.8,90112,2039808,49,242,5
2026-01-17 20:58:50,8.8,64.0,9.8,0,3575808,49,242,5
2026-01-17 20:59:22,19.1,65.7,9.8,0,2711552,49,244,4
2026-01-17 20:59:54,10.1,67.0,9.8,41823744,54505472,49,248,6
2026-01-17 21:00:26,4.8,65.9,9.8,61440,3559424,49,243,6
2026-01-17 21:00:57,10.5,66.4,9.8,458752,29323264,48,243,4
2026-01-17 21:01:29,9.0,66.6,9.8,16384,2326528,48,243,2
2026-01-17 21:02:01,3.1,66.1,9.8,0,3264512,48,242,7
2026-01-17 23:09:26,15.4,71.1,9.8,0,86016,38,240,4
2026-01-17 23:09:58,3.6,70.2,9.8,397312,3670016,37,240,3
2026-01-17 23:10:29,25.7,71.3,9.8,126976,4698112,37,244,4
2026-01-17 23:11:01,30.6,75.4,9.8,21733888,24739840,37,246,6
2026-01-17 23:11:34,22.6,77.1,9.8,4769280,10821632,36,245,9
2026-01-17 23:12:07,57.3,87.6,9.8,44267520,70828032,36,251,6
2026-01-17 23:12:40,24.1,86.4,9.8,12212736,944708096,36,250,9
2026-01-17 23:13:13,15.9,85.6,9.8,775168,25587200,35,249,6
2026-01-17 23:13:45,10.1,74.3,9.8,20393472,11120640,35,246,6
2026-01-17 23:15:13,7.5,56.2,9.8,65536,0,35,223,2
2026-01-17 23:15:44,6.4,62.2,9.8,346376192,28995584,34,244,6
2026-01-17 23:16:15,10.8,63.5,9.8,1122304,9412608,34,239,4
2026-01-17 23:16:47,9.4,61.6,9.8,57344,9502720,34,236,4
2026-01-17 23:17:18,17.7,62.8,9.8,312443392,32091648,33,240,3
2026-01-17 23:17:49,14.5,62.0,9.8,408064,27574272,33,238,1
2026-01-17 23:18:21,23.2,62.3,9.8,16384,3297280,33,238,3
2026-01-17 23:18:52,8.2,62.0,9.8,3737600,5537792,33,242,5
2026-01-17 23:19:23,8.3,62.4,9.8,3281920,20668416,32,240,2
2026-01-17 23:19:55,4.8,61.8,9.8,3910144,3547136,32,238,2
2026-01-17 23:20:26,34.6,64.6,9.8,16888320,37873152,32,240,10
2026-01-17 23:20:58,16.2,64.8,9.8,7230464,145150464,32,240,8
2026-01-17 23:21:30,12.3,64.9,9.8,1039872,30645760,32,240,8
2026-01-17 23:22:04,13.8,66.3,9.8,16369664,102831104,31,243,8
2026-01-17 23:22:35,28.9,68.7,9.8,512000,74244096,31,245,13
2026-01-17 23:23:10,59.8,79.2,9.8,3355136,92381184,31,249,9
2026-01-17 23:23:44,18.4,77.5,9.8,4239360,62308864,30,252,5
2026-01-17 23:24:17,23.9,77.9,9.8,157696,68259840,32,252,11
2026-01-17 23:24:51,18.8,77.8,9.8,1131520,91192832,32,250,3
2026-01-17 23:25:24,23.2,76.9,9.8,253952,75123712,34,247,8
2026-01-17 23:25:58,36.5,82.7,9.8,37476864,180744192,35,256,12
2026-01-17 23:26:32,13.5,80.8,9.8,3534848,43823104,36,253,7
